id;first_name;last_name;email;address;phone
1;Katarina;Walker;Millie31@gmail.com;ugh vestment;736.512.1404 x20745
2;Quincy;Watsica;Gretchen_Lind62@yahoo.com;round;950-991-7757 x9984
3;Lora;Marks;Gillian.Johnson@gmail.com;splosh softly intellect;266-746-7213 x5247
4;Berneice;Emmerich;Roger.Hoeger40@gmail.com;deeply;1-478-676-1948 x810
5;Filiberto;Wolf;Bernardo_Kiehn76@yahoo.com;despite lyre after;(367) 550-9612 x0056
6;August;White;Cleo82@gmail.com;although because psst;1-463-654-3467
7;Easter;Crist;Darby_Mills94@yahoo.com;haunting rapidly from;455.457.2242 x687
8;Donnell;Mosciski;Zaria.Powlowski62@yahoo.com;nifty;448.924.4972 x5557
9;Anissa;Brekke;Jamil88@gmail.com;knotty superb a;306-449-4095
10;Kyleigh;Collier;Armando.Grady37@yahoo.com;above;328-395-6063 x21200
